code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,statut_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,commentaire_influence_generale_site,commentaire_site,libelle_departement
S4114010,Le ruisseau de la Palue à Castets,STANDARD,364091.0,6318529.0,26,-1.18164053,43.885699269,24.0,2.0,1.0,3.0,S41-0400,S4110400,['40075'],S411,['CASTETS'],['40'],['75'],['NOUVELLE-AQUITAINE'],S41-0400,Ruisseau de la Palue,http://id.eaufrance.fr/CEA/S41-0400,,,['LANDES']
S4114011,Le ruisseau de la Palue à Saint-Michel-Escalus,STANDARD,355089.1360375,6319205.2730072,26,-1.293941767,43.887430874,,,1.0,0.0,S41-0400,S4110400,['40276'],S411,['SAINT-MICHEL-ESCALUS'],['40'],['75'],['NOUVELLE-AQUITAINE'],S41-0400,Ruisseau de la Palue,http://id.eaufrance.fr/CEA/S41-0400,,,['LANDES']
S4130001,Le ruisseau du Moulin de Loupsat à Vielle-Saint-Girons,PONCTUEL,354716.0,6322201.0,26,-1.300607155,43.914168001,,,1.0,,S4130500,S4130500,['40326'],S413,['VIELLE-SAINT-GIRONS'],['40'],['75'],['NOUVELLE-AQUITAINE'],S4130500,Ruisseau du Moulin de Loupsat,http://id.eaufrance.fr/CEA/S4130500,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S4200001,Le courant de Soustons à Magescq,PONCTUEL,364070.0,6307706.0,26,-1.174784732,43.788429058,,,1.0,,S42-0400,S4200400,['40168'],S420,['MAGESCQ'],['40'],['75'],['NOUVELLE-AQUITAINE'],S42-0400,Courant de Soustons,http://id.eaufrance.fr/CEA/S42-0400,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S4214010,Le courant de Soustons à Magescq,STANDARD,359985.0,6307140.0,26,-1.225078965,43.781388677,15.0,2.0,1.0,1.0,S42-0400,S4210400,['40168'],S421,['MAGESCQ'],['40'],['75'],['NOUVELLE-AQUITAINE'],S42-0400,Courant de Soustons,http://id.eaufrance.fr/CEA/S42-0400,,,['LANDES']
S4235410,Le ruisseau de Bibic à Soustons,STANDARD,350208.0,6303961.0,26,-1.344156707,43.748052591,7.0,2.0,1.0,1.0,S4260500,S4260500,['40310'],S426,['SOUSTONS'],['40'],['75'],['NOUVELLE-AQUITAINE'],S4260500,Ruisseau de Bibic,http://id.eaufrance.fr/CEA/S4260500,,,['LANDES']
S4260001,Le ruisseau d'Hardy à Soustons,PONCTUEL,348642.0,6301391.0,26,-1.361804501,43.72418525,,,1.0,,S4260520,S4260520,['40310'],S426,['SOUSTONS'],['40'],['75'],['NOUVELLE-AQUITAINE'],S4260520,Ruisseau d'Hardy,http://id.eaufrance.fr/CEA/S4260520,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S5144010,La Nivelle à Saint-Pée-sur-Nivelle [Pont de Cherchebruit],STANDARD,330925.0,6257560.0,26,-1.549949131,43.32146893,25.0,2.0,1.0,1.0,S52-0400,S5220400,['64495'],S522,['SAINT-PEE-SUR-NIVELLE'],['64'],['75'],['NOUVELLE-AQUITAINE'],S52-0400,La Nivelle,http://id.eaufrance.fr/CEA/S52-0400,,,['PYRENEES-ATLANTIQUES']
S5144020,La Nivelle à Saint-Pée-sur-Nivelle [Lurberria],PLANDEAU,332243.0,6256592.0,26,-1.533052277,43.313456954,,,1.0,2.0,S52-0400,S5200400,['64495'],S520,['SAINT-PEE-SUR-NIVELLE'],['64'],['75'],['NOUVELLE-AQUITAINE'],S52-0400,La Nivelle,http://id.eaufrance.fr/CEA/S52-0400,,,['PYRENEES-ATLANTIQUES']
S5160010,La Nivelle à Ciboure,STANDARD,322101.0,6265124.0,26,-1.66398305,43.384770372,,,1.0,2.0,S52-0400,S5240400,['64189'],S524,['CIBOURE'],['64'],['75'],['NOUVELLE-AQUITAINE'],S52-0400,La Nivelle,http://id.eaufrance.fr/CEA/S52-0400,,,['PYRENEES-ATLANTIQUES']
